 “No Juice” Advanced Bodybuilding Workout Routine,Build Muscle,Pete Khatcherian,6,"[1, 2, 3, 4, 5]",Split,Advanced,Male & Female,"Avoid plateauing with the ""No Juice"" routine, which manipulates intensity, frequency, and volume to help you continue progressing in the gym.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/no_juice_feature.jpg,0,4,9,18
10 Week Chest Size & Bench Press Strength Workout,Build Muscle,M&S Team,1,"[1, 4, 5]",Single Muscle Group,Beginner,Male & Female,This ten week training cycle is designed to not only boost your barbell bench press prowess but also pack on slabs of muscle mass to your upper and lower chest.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/10mass_feature.jpg,0,4.9,40,49
10 Week Mass Building Program,Build Muscle,M&S Writers,4,"[1, 2, 4, 5]",Split,Advanced,Male & Female,This workout is designed to increase your muscle mass as much as possible in 10 weeks. Works each muscle group hard once per week using mostly heavy compound exercises.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/10weekmass.jpg,0,4.8,2200,2400
100 Rep Hell: A Shocker Muscle Building Workout,Build Muscle,M&S Team,5,"[1, 6, 5]",Split,Intermediate,Male & Female,"Need a change? You’ve come to the right workout. This one week shocker is meant to break through the boredom and monotony, and beat your body into growth.",,0,4.9,33,60
100 Reps Per Set Shocker Fullbody Workout,Build Muscle,Maik Wiedenbach,2,"[1, 2, 3, 4, 6, 5]",Full Body,Intermediate,Male & Female,"Blast out of a rut with 100 reps per set. 100 rep sets can be used to shock the entire body for a week or two, or to bring up a lagging part.

",,0,5,54,106
12 Week Beginners Training Routine,Build Muscle,Doug Lawrenson,2,"[1, 2, 3, 4, 5]",Full Body,Beginner,Male & Female,A twelve week full body beginners routine designed to get your body ready for an intense split routine. Includes a detailed week by week plan.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/12feature.jpg,0,5,272,692
18 Week Chin Up & Dip Program For An Impressive Upper Body,Build Muscle,Eric Brown,4,"[2, 7]",Single Muscle Group,Beginner,Male & Female,Chin ups and dips are 2 overlooked but important bodyweight exercises. This 18 week workout protocol features a single training day dedicated to these movements.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/dipchin.jpg,0,4.8,87,165
2 Day Simple A/B Split by Steve,Build Muscle,M&S Team,2,"[1, 2, 4]",Full Body,Beginner,Male & Female,Effective 2 day per week fullbody routine that is perfect for building muscle and strength. If you don't have time to live in the gym this is the routine for you.,,0,4.8,97,340
The Ultimate 20 Minute Treadmill Workout to Get Shredded,Lose Fat,Coach Dustin Myers,3,[2],Cardio,Beginner,Male & Female,Tired of those drawn-out cardio sessions that steal your pump? Try out Coach Myers' Pump & Run workout that'll help you shred without losing your pump!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/pump-and-run-feature.jpg,0,3.2,9,4
5 Best 20 Minute HIIT Cardio Workouts For Rapid Fat Loss,Lose Fat,Brad Borland,2,"[2, 8, 7]",Cardio,Beginner,Male & Female,You don't have to spend hours on cardio equipment to burn fat. Try one of these HIIT cardio routines for faster (and less boring!) fat loss.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/hiit-fat-loss-workouts.jpg,0,4.7,3,9
Get Shredded For The New Year: 21-Day Fat Loss Workout,Lose Fat,Coach Dustin Myers,7,"[1, 3, 4, 11, 7]",Full Body,Beginner,Male & Female,"If your physique isn't where you want it to be, start your New Year off right with this intense 21-day fat loss workout from Coach Dustin Myers.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/new-year-fat-loss.jpg,0,5,43,9
Love Handle Workouts: 5 Routines That Torch Unwanted Fat,Lose Fat,Brad Borland,3,"[2, 4, 8]",Full Body,Beginner,Male & Female,Stuck with some extra holiday flab? Burn it off faster by tackling these intense fat burning workouts. Includes workouts for a variety of different equipment.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/love-handle-workouts.jpg,0,4.8,52,5
Power Hour Cardio: A Full Body Cardio Workout For Gym Rats,Increase Endurance,Roger “Rock” Lockridge,2,"[4, 7]",Cardio,Intermediate,Male & Female,"Let me guess. You hate cardio. Well this total body, endurance-building, fat blaster was designed with you in mind. Try Power Hour Cardio if you're up for a challenge!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/power-hour-cardio.jpg,0,4.5,8,1
The Punisher Vol. II: A Ruthless Full Body Fat Burning Workout,Build Muscle,Eric Brown,2,[8],Full Body,Intermediate,Male & Female,Do you have what it takes? Eric Brown's twist on his Punisher workout takes simple kettlebell moves and turns them into an intense total body workout.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/the-punisher-workout.jpg,0,4.5,11,0
Convenient Cardio: Killer 15 Minute Home Workout Plan,General Fitness,Roger “Rock” Lockridge,3,[7],Cardio,Beginner,Male & Female,"If you're looking for a way to make cardio a lot more fun and productive without it taking up too much time, then this Sledgehammer and Sandbag Tabata Workout is for you!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/easy_home_cardio_workout.jpg,0,4.6,5,0
6 Intense Treadmill Workouts To Get Shredded For Summer,Lose Fat,Coach Dustin Myers,4,[7],Cardio,Beginner,Male & Female,"Start conditioning your body and burn fat with these 6 effective treadmill workouts that are not only designed to be brutal, but to deliver results and get those muscles popping!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/hiit_treadmill_workouts_for_fat_loss.jpg,0,4.8,18,7
Jen Jewell's Summer Countdown: Burn Fat & Build A Bikini Booty,Lose Fat,Jen Jewell,4,"[1, 2, 4, 10]",Full Body,Beginner,Female,"The time to sculpt your summer body is now! Get lean, healthy, and strong with Jen Jewell's Summer Countdown Workout that combines strength training with cardio bursts for maximum fat loss.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/jen-jewell-summer-countdown-featured.jpg,0,3.5,8,4
8 Minute Squat & Push-Up Tabata Workout For Fat Loss,Lose Fat,Brad Borland,3,"[2, 4]",Cardio,Beginner,Male & Female,"You can burn fat and get ripped in just 8 minutes with this high intensity Tabata circuit that combines push-ups and squats. 
 ",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/8-minute-tabata-squat-push-up-featured.jpg,0,4.5,4,17
Building The Perfect Fat Burning Circuit,Lose Fat,Brad Borland,3,"[2, 7]",Cardio,Beginner,Male & Female,Brad Borland presents a 5 element template that enables you to build your own effective fat blasting circuit workout. Benefits and example circuit workouts included.,,0,4.6,5,3
The Punisher: A Relentless Better Body Workout,Build Muscle,Eric Brown,1,"[2, 4, 7]",Full Body,Intermediate,Male & Female,"Eric Brown delivers a workout with a wallop. The Punisher is deceptively simple, comprised of 5 movements: walking lunges, bent-over rows, push ups, burpees and a sprint.",,0,5,44,51
Dumbbell & Bodyweight HIIT Workout: A Real Calorie Burner,Lose Fat,Holly Blumenberg,1,"[2, 4]",Cardio,Beginner,Male & Female,"Torch through calories with this partner-based cardio workout. A series of 12 exercises are performed in a back and forth manner, adding reps with each set.",,0,5,31,4
Kettlebell Cardio Complex To Smoke Fat And Improve Conditioning,Lose Fat,Arnav Sarkar,1,[8],Cardio,Beginner,Male & Female,This 4 exercise kettlebell complex and circuit is performed for a total of 4 rounds. You can use this workout 1-3 times per week to burn fat or improve conditioning.,,0,4.9,15,1
Prepare For Boot Camp With This 12 Week Workout,General Fitness,Brad Borland,3,"[1, 2, 5]",Full Body,Beginner,Male & Female,"So boot camp is only a short time away, and you need to get in shape. This 12 week program will help turn you into a physically fit, running, push up and sit up machine.",,0,5,15,4
Unique Cardio Workouts: 4 Fun Ways To Burn Calories,Lose Fat,Brad Borland,1,"[1, 5]",Cardio,Beginner,Male & Female,Unchain yourself from the boring treadmill and inject some fun into your calorie burning regimen with these 4 cardio suggestions from bodybuilder Brad Borland.,,0,4.4,5,0
MusclePharm Combo Fat Burner Workout,Lose Fat,Cory Gregory,1,"[9, 1, 2, 4, 6, 5, 7]",Cardio,Beginner,Male & Female,This fat blasting workout from Cory Gregory and MusclePharm utilizes 4 minute blocks comprised of jumping rope and timed resistance training exercises.,,0,5,12,3
"No Kettlebell, No Problem - Dumbbell HIIT Workout",Lose Fat,Holly Blumenberg,2,[4],Cardio,Beginner,Male & Female,"You don't need the latest craze to get in a good high intensity, fat burning workout. No kettlebell, no problem! All you need for this cardio workout is a set of dumbbells.",,0,5,23,19
"40 Minute Blast - Abs, Cardio And Resistance Workout",General Fitness,John Gormen,1,"[2, 4]",Cardio,Beginner,Male & Female,"A cardio, weights and abs workout perfect for those days when you need to do something fun at the gym. Simply grab a heavy and light set of dumbbells and go!",,0,4.9,43,30
5 Cross Training Workouts For General Conditioning,Sports Performance,Thomas Schultz,1,"[1, 2, 8, 7]",Full Body,Beginner,Male & Female,The following 5 cross training daily workout routines that contain a variety of exercises aimed at improving your overall conditioning.,,0,4.9,13,16
Countdown To Fitness: A Calisthenics And Bodyweight Workout,Increase Endurance,Holly Blumenberg,3,[2],Full Body,Beginner,Male & Female,"A fun and fast fitness challenge, this workout features a combination of calisthenics and bodyweight exercises, and is a great way to burn fat and build conditioning.",,0,4.9,31,31
"Core, Strength And Fat Burn Workout",Lose Fat,Danial Kelly,6,"[1, 2, 4, 7]",Full Body,Intermediate,Male & Female,"Potent, powerful and anything but boring. This hardcore fat burning, strength and core building workout will leave you looking and feeling great.",,0,5,55,142
Power Building Beginner Hill Sprint Workout Plan,General Fitness,Thomas Schultz,2,[13],Cardio,Beginner,Male & Female,"Go from slug to sprinting machine in only 8 short weeks. This workout plan is designed to help you build power, speed, endurance and burn fat too!",,0,5,5,7
"Kettlebell, Bodyweight And Treadmill Cardio Workout",Lose Fat,John Gormen,4,"[2, 8, 7]",Cardio,Beginner,Male & Female,"Forget boring cardio workouts! Blast away fat in only 15 minutes per day using only a treadmill, a kettlebell and simple bodyweight exercises.",,0,5,11,7
The Bear Barbell Complex,Increase Endurance,Thomas Schultz,1,[1],Full Body,Intermediate,Male & Female,The Bear Complex is an intense barbell complex circuit that can be used several times per week to help build strength and conditioning.,,0,4.6,27,41
